epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,12199.6,0.69065,0.40953,0.81358,0.99854,1,0.995,0.8624,0.60314,0.3632,0.78366,0.0003236,0.0003236,0.0003236
129,12290.1,0.68168,0.41823,0.82079,0.99856,1,0.995,0.86548,0.57387,0.35804,0.78123,0.0003104,0.0003104,0.0003104
130,12385.7,0.70981,0.43929,0.828,0.99854,1,0.995,0.84867,0.58834,0.35143,0.78384,0.0002972,0.0002972,0.0002972
131,12448.6,0.59242,0.35416,0.80344,0.99855,1,0.995,0.84951,0.58608,0.35677,0.7864,0.000284,0.000284,0.000284
132,12506.6,0.57106,0.35015,0.80018,0.99848,1,0.995,0.84441,0.57215,0.35847,0.78588,0.0002708,0.0002708,0.0002708
133,12561.7,0.55953,0.34377,0.80619,0.99844,1,0.995,0.84968,0.59585,0.35386,0.78556,0.0002576,0.0002576,0.0002576
134,12617.7,0.58368,0.34291,0.80996,0.9985,1,0.995,0.83134,0.653,0.35096,0.78877,0.0002444,0.0002444,0.0002444
135,12671.4,0.54085,0.32986,0.7995,0.99853,1,0.995,0.84006,0.64633,0.35114,0.78781,0.0002312,0.0002312,0.0002312
136,12732.8,0.56974,0.33941,0.80608,0.99853,1,0.995,0.85933,0.61937,0.34486,0.78586,0.000218,0.000218,0.000218
137,12790.4,0.57199,0.3438,0.80863,0.99855,1,0.995,0.87138,0.59115,0.33479,0.78487,0.0002048,0.0002048,0.0002048
138,12845.7,0.55985,0.32991,0.80561,0.99854,1,0.995,0.85863,0.57062,0.3334,0.78585,0.0001916,0.0001916,0.0001916
139,12903.2,0.54839,0.32682,0.79866,0.99854,1,0.995,0.85888,0.58145,0.33629,0.78716,0.0001784,0.0001784,0.0001784
140,15411.2,0.55286,0.33661,0.80074,0.99848,1,0.995,0.85142,0.57707,0.34518,0.78761,0.0001652,0.0001652,0.0001652
141,15469.4,0.54944,0.32981,0.79975,0.99846,1,0.995,0.85016,0.56875,0.34226,0.78669,0.000152,0.000152,0.000152
142,15523.2,0.56668,0.33538,0.80484,0.99849,1,0.995,0.85918,0.56827,0.33843,0.78589,0.0001388,0.0001388,0.0001388
143,15680.7,0.55495,0.33188,0.81124,0.99853,1,0.995,0.865,0.58059,0.33799,0.78545,0.0001256,0.0001256,0.0001256
144,15753.5,0.55726,0.32685,0.80559,0.99854,1,0.995,0.85723,0.61203,0.33197,0.7861,0.0001124,0.0001124,0.0001124
145,15858,0.54457,0.3162,0.805,0.99855,1,0.995,0.86111,0.61434,0.33319,0.78624,9.92e-05,9.92e-05,9.92e-05
146,15937,0.56214,0.31953,0.79843,0.99854,1,0.995,0.86402,0.59579,0.33137,0.78278,8.6e-05,8.6e-05,8.6e-05
147,16013.9,0.54913,0.32338,0.80568,0.99856,1,0.995,0.86492,0.58221,0.33108,0.78203,7.28e-05,7.28e-05,7.28e-05
148,16079.4,0.54376,0.31528,0.79963,0.99855,1,0.995,0.86486,0.57024,0.33166,0.78162,5.96e-05,5.96e-05,5.96e-05
149,16143.5,0.53585,0.31821,0.80083,0.99856,1,0.995,0.86227,0.57012,0.33092,0.78276,4.64e-05,4.64e-05,4.64e-05
150,16204.8,0.55124,0.32233,0.80574,0.99855,1,0.995,0.86217,0.57466,0.33101,0.78288,3.32e-05,3.32e-05,3.32e-05
